Make0,Make1,Make2,Make3,Make4,Make5,Make6,Make7,Make8,Make9,Make10,Make11,Make12,Make13,Make14,Make15,Make16,Make17,Make18,Make19,Make20,Make21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,0,0,2,2,2,2,1,0,0,0,0,0,1,1,0,0,0,1,1,1
3,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
4,0,2,2,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1
5,1,3,3,2,2,2,2,1,0,0,0,1,0,1,0,0,1,1,0,0,1
0,2,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,3,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1
2,4,2,2,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1
3,0,3,3,1,1,2,2,0,1,0,1,0,1,0,1,0,1,1,0,1,1
4,1,2,3,0,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0
5,2,1,3,1,1,2,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
0,3,2,1,1,1,2,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0
1,4,0,3,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0
2,3,2,2,2,1,1,2,0,1,0,0,1,1,1,0,1,0,1,0,0,1
3,2,0,3,2,2,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0
4,4,1,1,0,1,2,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
5,0,1,3,1,2,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
