p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,2,2,2,2,2,2,2
1,1,1,1,1,1,1,0,0,3,3,3,3,3
0,0,0,0,0,0,0,1,1,0,4,4,4,4
1,1,1,1,1,1,1,2,2,1,5,5,5,5
*,*,*,*,*,*,*,0,0,2,6,6,6,6
*,*,*,*,*,*,*,1,1,3,7,7,7,7
*,*,*,*,*,*,*,2,2,0,8,8,8,8
*,*,*,*,*,*,*,*,*,1,9,9,9,9
*,*,*,*,*,*,*,*,*,2,0,0,0,0
*,*,*,*,*,*,*,*,*,3,1,1,1,1
*,*,*,*,*,*,*,*,*,*,2,2,2,2
*,*,*,*,*,*,*,*,*,*,3,3,3,3
*,*,*,*,*,*,*,*,*,*,4,4,4,4
*,*,*,*,*,*,*,*,*,*,5,5,5,5
*,*,*,*,*,*,*,*,*,*,6,6,6,6
*,*,*,*,*,*,*,*,*,*,7,7,7,7
*,*,*,*,*,*,*,*,*,*,8,8,8,8
*,*,*,*,*,*,*,*,*,*,9,9,9,9
*,*,*,*,*,*,*,*,*,*,0,0,0,0
*,*,*,*,*,*,*,*,*,*,1,1,1,1
*,*,*,*,*,*,*,*,*,*,2,2,2,2
*,*,*,*,*,*,*,*,*,*,3,3,3,3
*,*,*,*,*,*,*,*,*,*,4,4,4,4
*,*,*,*,*,*,*,*,*,*,5,5,5,5
*,*,*,*,*,*,*,*,*,*,6,6,6,6
*,*,*,*,*,*,*,*,*,*,7,7,7,7
*,*,*,*,*,*,*,*,*,*,8,8,8,8
*,*,*,*,*,*,*,*,*,*,9,9,9,9
